Now----, Next---, Cage, LocalTime--, Pos, hw---------, Dep, Arr, SD, Clt--------, Ton, Tof, Hc-
29.DCLM, 30.DCLC,    1, 1.02509e+02,   2, 3.50000e+00,   1,   2, LU, 1.02509e+02,   0,   0,   1
30.DCLC, 31.RSTC,    1, 1.02509e+02,   2, 3.50000e+00,   1,   2, LU, 1.02509e+02,   0,   0,   1
31.RSTC, 04.RTSC,    1, 1.02509e+02,   2, 3.50000e+00,   1,   2, LU, 1.02509e+02,   0,   0,   1
04.RTSC, 06.RSUB,    1, 1.02509e+02,   2, 3.50000e+00,   2,   8, LU, 1.02509e+02,   0,   0,   1
06.RSUB, 07.RSUM,    1, 1.04059e+02,   2, 3.98750e+00,   2,   8, LU, 1.04059e+02,   0,   0,   1
07.RSUM, 08.RSUC,    1, 1.05609e+02,   2, 5.45000e+00,   2,   8, LU, 1.05609e+02,   0,   0,   1
08.RSUC, 09.RCOB,    1, 1.05609e+02,   2, 5.45000e+00,   2,   8, LU, 1.05609e+02,   0,   0,   1
09.RCOB, 10.RCOM,    1, 1.11309e+02,   5, 1.40000e+01,   2,   8, LU, 1.11309e+02,   0,   0,   1
10.RCOM, 05.RTSR,    1, 1.17009e+02,   7, 2.25500e+01,   2,   8, UU, 1.17009e+02,   0,   0,   1
05.RTSR, 11.RCOC,    1, 1.17009e+02,   7, 2.25500e+01,   2,   8, UU, 1.17009e+02,   0,   0,   1
11.RCOC, 12.RSDB,    1, 1.17009e+02,   7, 2.25500e+01,   2,   8, UU, 1.17009e+02,   0,   0,   1
12.RSDB, 13.RSDM,    1, 1.17009e+02,   7, 2.40125e+01,   2,   8, UU, 1.17009e+02,   0,   0,   1
13.RSDM, 14.RSDC,    1, 1.20109e+02,   8, 2.45000e+01,   2,   8, UU, 1.20109e+02,   0,   0,   1
14.RSDC, 15.RSTB,    1, 1.20109e+02,   8, 2.45000e+01,   2,   8, UU, 1.20109e+02,   0,   0,   1
15.RSTB, 16.RSTM,    1, 1.20109e+02,   8, 2.45000e+01,   2,   8, UU, 1.20109e+02,   0,   0,   1
16.RSTM, 17.DOPB,    1, 1.20109e+02,   8, 2.45000e+01,   2,   8, UU, 1.20109e+02,   0,   0,   1
17.DOPB, 18.DOPM,    1, 1.21159e+02,   8, 2.45000e+01,   2,   8, UU, 1.21159e+02,   0,   0,   1
18.DOPM, 19.DOPC,    1, 1.22209e+02,   8, 2.45000e+01,   2,   8, UU, 1.22209e+02,   0,   0,   1
19.DOPC, 20.TOFP,    1, 1.22209e+02,   8, 2.45000e+01,   2,   8, UU, 1.22209e+02,   0,   0,   1
20.TOFP, 21.TOFB,    1, 1.22209e+02,   8, 2.45000e+01,   2,   8, UU, 1.22209e+02,   0,   0,   1
21.TOFB, 22.TOFM,    1, 1.22209e+02,   8, 2.45000e+01,   2,   8, UU, 1.22209e+02,   0,   0,   1
22.TOFM, 23.TOFC,    1, 1.23009e+02,   8, 2.45000e+01,   2,   8, UU, 1.23009e+02,   0,   1,   0
23.TOFC, 24.TONP,    1, 1.23009e+02,   8, 2.45000e+01,   2,   8, UU, 1.23009e+02,   0,   0,   0
24.TONP, 28.DCLB,    1, 1.23009e+02,   8, 2.45000e+01,   2,   8, UU, 1.23009e+02,   0,   0,   0
28.DCLB, 29.DCLM,    1, 1.24859e+02,   8, 2.45000e+01,   2,   8, UU, 1.24859e+02,   0,   0,   0
29.DCLM, 30.DCLC,    1, 1.26709e+02,   8, 2.45000e+01,   2,   8, UU, 1.26709e+02,   0,   0,   0
30.DCLC, 31.RSTC,    1, 1.26709e+02,   8, 2.45000e+01,   2,   8, UU, 1.26709e+02,   0,   0,   0
31.RSTC, 04.RTSC,    1, 1.26709e+02,   8, 2.45000e+01,   2,   8, UU, 1.26709e+02,   0,   0,   0
04.RTSC, 06.RSUB,    1, 1.26709e+02,   8, 2.45000e+01,   8,   5, UD, 1.26709e+02,   0,   0,   0
