 NowState :   Stat: 18.DOPM, NowState :   Stat: 19.DOPC, itv      : 1.050000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   1, Arr=   7, Dir=UU, Clt=6.07333e+01, Hc=   1
 NowState :   Stat: 19.DOPC, NowState :   Stat: 20.TOFP, itv      : 0.000000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   1, Arr=   7, Dir=UU, Clt=6.07333e+01, Hc=   1
 NowState :   Stat: 20.TOFP, NowState :   Stat: 21.TOFB, itv      : 0.000000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   1, Arr=   7, Dir=UU, Clt=6.07333e+01, Hc=   1
 NowState :   Stat: 21.TOFB, NowState :   Stat: 22.TOFM, itv      : 0.000000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   1, Arr=   7, Dir=UU, Clt=6.07333e+01, Hc=   1
 NowState :   Stat: 22.TOFM, NowState :   Stat: 23.TOFC, itv      : 0.800000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   1, Arr=   7, Dir=UU, Clt=6.15333e+01, Hc=   0
 NowState :   Stat: 23.TOFC, NowState :   Stat: 24.TONP, itv      : 0.000000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   1, Arr=   7, Dir=UU, Clt=6.15333e+01, Hc=   0
 NowState :   Stat: 24.TONP, NowState :   Stat: 28.DCLB, itv      : 0.000000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   1, Arr=   7, Dir=UU, Clt=6.15333e+01, Hc=   0
 NowState :   Stat: 28.DCLB, NowState :   Stat: 29.DCLM, itv      : 1.850000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   1, Arr=   7, Dir=UU, Clt=6.33833e+01, Hc=   0
 NowState :   Stat: 29.DCLM, NowState :   Stat: 30.DCLC, itv      : 1.850000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   1, Arr=   7, Dir=UU, Clt=6.52333e+01, Hc=   0
 NowState :   Stat: 30.DCLC, NowState :   Stat: 31.RSTC, itv      : 0.000000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   1, Arr=   7, Dir=UU, Clt=6.52333e+01, Hc=   0
 NowState :   Stat: 31.RSTC, NowState :   Stat: 04.RTSC, itv      : 0.000000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   1, Arr=   7, Dir=UU, Clt=6.52333e+01, Hc=   0
 NowState :   Stat: 04.RTSC, NowState :   Stat: 06.RSUB, itv      : 0.000000	 Cycle=   1	Pos=   7, hw=2.10000e+01, Dep=   7, Arr=   2, Dir=UD, Clt=6.52333e+01, Hc=   0
 NowState :   Stat: 06.RSUB, NowState :   Stat: 07.RSUM, itv      : 1.550000	 Cycle=   1	Pos=   6, hw=2.05125e+01, Dep=   7, Arr=   2, Dir=UD, Clt=6.67833e+01, Hc=   0
 NowState :   Stat: 07.RSUM, NowState :   Stat: 08.RSUC, itv      : 1.550000	 Cycle=   1	Pos=   6, hw=1.90500e+01, Dep=   7, Arr=   2, Dir=UD, Clt=6.83333e+01, Hc=   0
 NowState :   Stat: 08.RSUC, NowState :   Stat: 09.RCOB, itv      : 0.000000	 Cycle=   1	Pos=   6, hw=1.90500e+01, Dep=   7, Arr=   2, Dir=UD, Clt=6.83333e+01, Hc=   0
 NowState :   Stat: 09.RCOB, NowState :   Stat: 10.RCOM, itv      : 4.533333	 Cycle=   1	Pos=   4, hw=1.22500e+01, Dep=   7, Arr=   2, Dir=LD, Clt=7.28667e+01, Hc=   0
 NowState :   Stat: 10.RCOM, NowState :   Stat: 05.RTSR, itv      : 4.533333	 Cycle=   1	Pos=   2, hw=5.45000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=7.74000e+01, Hc=   0
 NowState :   Stat: 05.RTSR, NowState :   Stat: 11.RCOC, itv      : 0.000000	 Cycle=   1	Pos=   2, hw=5.45000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=7.74000e+01, Hc=   0
 NowState :   Stat: 11.RCOC, NowState :   Stat: 12.RSDB, itv      : 0.000000	 Cycle=   1	Pos=   2, hw=5.45000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=7.74000e+01, Hc=   0
 NowState :   Stat: 12.RSDB, NowState :   Stat: 13.RSDM, itv      : 0.000000	 Cycle=   1	Pos=   2, hw=3.98750e+00, Dep=   7, Arr=   2, Dir=LD, Clt=7.74000e+01, Hc=   0
 NowState :   Stat: 13.RSDM, NowState :   Stat: 14.RSDC, itv      : 3.100000	 Cycle=   1	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=8.05000e+01, Hc=   0
 NowState :   Stat: 14.RSDC, NowState :   Stat: 15.RSTB, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=8.05000e+01, Hc=   0
 NowState :   Stat: 15.RSTB, NowState :   Stat: 16.RSTM, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=8.05000e+01, Hc=   0
 NowState :   Stat: 16.RSTM, NowState :   Stat: 17.DOPB, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=8.05000e+01, Hc=   0
 NowState :   Stat: 17.DOPB, NowState :   Stat: 18.DOPM, itv      : 1.050000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=8.15500e+01, Hc=   0
 NowState :   Stat: 18.DOPM, NowState :   Stat: 19.DOPC, itv      : 1.050000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=8.26000e+01, Hc=   0
 NowState :   Stat: 19.DOPC, NowState :   Stat: 20.TOFP, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=8.26000e+01, Hc=   0
 NowState :   Stat: 20.TOFP, NowState :   Stat: 24.TONP, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=8.26000e+01, Hc=   0
 NowState :   Stat: 24.TONP, NowState :   Stat: 25.TONB, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=8.26000e+01, Hc=   0
 NowState :   Stat: 25.TONB, NowState :   Stat: 26.TONM, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=8.26000e+01, Hc=   0
 NowState :   Stat: 26.TONM, NowState :   Stat: 27.TONC, itv      : 0.800000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=8.34000e+01, Hc=   1
 NowState :   Stat: 27.TONC, NowState :   Stat: 28.DCLB, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=8.34000e+01, Hc=   1
 NowState :   Stat: 28.DCLB, NowState :   Stat: 29.DCLM, itv      : 1.850000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=8.52500e+01, Hc=   1
 NowState :   Stat: 29.DCLM, NowState :   Stat: 30.DCLC, itv      : 1.850000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=8.71000e+01, Hc=   1
 NowState :   Stat: 30.DCLC, NowState :   Stat: 31.RSTC, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=8.71000e+01, Hc=   1
 NowState :   Stat: 31.RSTC, NowState :   Stat: 04.RTSC, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=8.71000e+01, Hc=   1
 NowState :   Stat: 04.RTSC, NowState :   Stat: 06.RSUB, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=8.71000e+01, Hc=   1
 NowState :   Stat: 06.RSUB, NowState :   Stat: 07.RSUM, itv      : 1.692817	 Cycle=   2	Pos=   1, hw=3.06250e+00, Dep=   2, Arr=   1, Dir=LD, Clt=8.87928e+01, Hc=   1
 NowState :   Stat: 07.RSUM, NowState :   Stat: 08.RSUC, itv      : 1.692817	 Cycle=   2	Pos=   1, hw=1.75000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=9.04856e+01, Hc=   1
 NowState :   Stat: 08.RSUC, NowState :   Stat: 12.RSDB, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=1.75000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=9.04856e+01, Hc=   1
 NowState :   Stat: 12.RSDB, NowState :   Stat: 13.RSDM, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=4.37500e-01, Dep=   2, Arr=   1, Dir=LD, Clt=9.04856e+01, Hc=   1
 NowState :   Stat: 13.RSDM, NowState :   Stat: 14.RSDC, itv      : 3.385633	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=9.38713e+01, Hc=   1
 NowState :   Stat: 14.RSDC, NowState :   Stat: 15.RSTB, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=9.38713e+01, Hc=   1
 NowState :   Stat: 15.RSTB, NowState :   Stat: 16.RSTM, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=9.38713e+01, Hc=   1
 NowState :   Stat: 16.RSTM, NowState :   Stat: 17.DOPB, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=9.38713e+01, Hc=   1
 NowState :   Stat: 17.DOPB, NowState :   Stat: 18.DOPM, itv      : 1.050000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=9.49213e+01, Hc=   1
 NowState :   Stat: 18.DOPM, NowState :   Stat: 19.DOPC, itv      : 1.050000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=9.59713e+01, Hc=   1
 NowState :   Stat: 19.DOPC, NowState :   Stat: 20.TOFP, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=9.59713e+01, Hc=   1
 NowState :   Stat: 20.TOFP, NowState :   Stat: 21.TOFB, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=9.59713e+01, Hc=   1
 NowState :   Stat: 21.TOFB, NowState :   Stat: 22.TOFM, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=9.59713e+01, Hc=   1
 NowState :   Stat: 22.TOFM, NowState :   Stat: 23.TOFC, itv      : 0.800000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=9.67713e+01, Hc=   0
 NowState :   Stat: 23.TOFC, NowState :   Stat: 24.TONP, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=9.67713e+01, Hc=   0
 NowState :   Stat: 24.TONP, NowState :   Stat: 25.TONB, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=9.67713e+01, Hc=   0
 NowState :   Stat: 25.TONB, NowState :   Stat: 26.TONM, itv      : 0.800000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=9.75713e+01, Hc=   1
 NowState :   Stat: 26.TONM, NowState :   Stat: 27.TONC, itv      : 1.600000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=9.91713e+01, Hc=   3
 NowState :   Stat: 27.TONC, NowState :   Stat: 28.DCLB, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=9.91713e+01, Hc=   3
 NowState :   Stat: 28.DCLB, NowState :   Stat: 29.DCLM, itv      : 1.850000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=1.01021e+02, Hc=   3
 NowState :   Stat: 29.DCLM, NowState :   Stat: 30.DCLC, itv      : 1.850000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=1.02871e+02, Hc=   3
 NowState :   Stat: 30.DCLC, NowState :   Stat: 31.RSTC, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=1.02871e+02, Hc=   3
 NowState :   Stat: 31.RSTC, NowState :   Stat: 04.RTSC, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=1.02871e+02, Hc=   3
 NowState :   Stat: 04.RTSC, NowState :   Stat: 15.RSTB, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=1.02871e+02, Hc=   3
 NowState :   Stat: 15.RSTB, NowState :   Stat: 16.RSTM, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=1.02871e+02, Hc=   3
 NowState :   Stat: 16.RSTM, NowState :   Stat: 17.DOPB, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=1.02871e+02, Hc=   3
 NowState :   Stat: 17.DOPB, NowState :   Stat: 18.DOPM, itv      : 1.050000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=1.03921e+02, Hc=   3
 NowState :   Stat: 18.DOPM, NowState :   Stat: 19.DOPC, itv      : 1.050000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=1.04971e+02, Hc=   3
 NowState :   Stat: 19.DOPC, NowState :   Stat: 20.TOFP, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=1.04971e+02, Hc=   3
 NowState :   Stat: 20.TOFP, NowState :   Stat: 24.TONP, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=1.04971e+02, Hc=   3
 NowState :   Stat: 24.TONP, NowState :   Stat: 25.TONB, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=1.04971e+02, Hc=   3
 NowState :   Stat: 25.TONB, NowState :   Stat: 26.TONM, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=1.04971e+02, Hc=   3
 NowState :   Stat: 26.TONM, NowState :   Stat: 27.TONC, itv      : 0.800000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=1.05771e+02, Hc=   4
 NowState :   Stat: 27.TONC, NowState :   Stat: 28.DCLB, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=1.05771e+02, Hc=   4
 NowState :   Stat: 28.DCLB, NowState :   Stat: 29.DCLM, itv      : 1.850000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   1, Arr=   1, Dir=L-, Clt=1.07621e+02, Hc=   4
