 NowState :   Stat: 05.RTSR, NowState :   Stat: 11.RCOC, itv      : 0.000000	 Cycle=   1	Pos=   2, hw=5.45000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=6.44667e+01, Hc=   0
 NowState :   Stat: 11.RCOC, NowState :   Stat: 12.RSDB, itv      : 0.000000	 Cycle=   1	Pos=   2, hw=5.45000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=6.44667e+01, Hc=   0
 NowState :   Stat: 12.RSDB, NowState :   Stat: 13.RSDM, itv      : 0.000000	 Cycle=   1	Pos=   2, hw=3.98750e+00, Dep=   7, Arr=   2, Dir=LD, Clt=6.44667e+01, Hc=   0
 NowState :   Stat: 13.RSDM, NowState :   Stat: 14.RSDC, itv      : 3.100000	 Cycle=   1	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=6.75667e+01, Hc=   0
 NowState :   Stat: 14.RSDC, NowState :   Stat: 15.RSTB, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=6.75667e+01, Hc=   0
 NowState :   Stat: 15.RSTB, NowState :   Stat: 16.RSTM, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=6.75667e+01, Hc=   0
 NowState :   Stat: 16.RSTM, NowState :   Stat: 17.DOPB, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=6.75667e+01, Hc=   0
 NowState :   Stat: 17.DOPB, NowState :   Stat: 18.DOPM, itv      : 1.050000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=6.86167e+01, Hc=   0
 NowState :   Stat: 18.DOPM, NowState :   Stat: 19.DOPC, itv      : 1.050000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=6.96667e+01, Hc=   0
 NowState :   Stat: 19.DOPC, NowState :   Stat: 20.TOFP, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=6.96667e+01, Hc=   0
 NowState :   Stat: 20.TOFP, NowState :   Stat: 24.TONP, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=6.96667e+01, Hc=   0
 NowState :   Stat: 24.TONP, NowState :   Stat: 25.TONB, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=6.96667e+01, Hc=   0
 NowState :   Stat: 25.TONB, NowState :   Stat: 26.TONM, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=6.96667e+01, Hc=   0
 NowState :   Stat: 26.TONM, NowState :   Stat: 27.TONC, itv      : 0.800000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=7.04667e+01, Hc=   1
 NowState :   Stat: 27.TONC, NowState :   Stat: 28.DCLB, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=7.04667e+01, Hc=   1
 NowState :   Stat: 28.DCLB, NowState :   Stat: 29.DCLM, itv      : 1.850000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=7.23167e+01, Hc=   1
 NowState :   Stat: 29.DCLM, NowState :   Stat: 30.DCLC, itv      : 1.850000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=7.41667e+01, Hc=   1
 NowState :   Stat: 30.DCLC, NowState :   Stat: 31.RSTC, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=7.41667e+01, Hc=   1
 NowState :   Stat: 31.RSTC, NowState :   Stat: 04.RTSC, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   7, Arr=   2, Dir=LD, Clt=7.41667e+01, Hc=   1
 NowState :   Stat: 04.RTSC, NowState :   Stat: 06.RSUB, itv      : 0.000000	 Cycle=   2	Pos=   2, hw=3.50000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=7.41667e+01, Hc=   1
 NowState :   Stat: 06.RSUB, NowState :   Stat: 07.RSUM, itv      : 1.692817	 Cycle=   2	Pos=   1, hw=3.06250e+00, Dep=   2, Arr=   1, Dir=LD, Clt=7.58595e+01, Hc=   1
 NowState :   Stat: 07.RSUM, NowState :   Stat: 08.RSUC, itv      : 1.692817	 Cycle=   2	Pos=   1, hw=1.75000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=7.75523e+01, Hc=   1
 NowState :   Stat: 08.RSUC, NowState :   Stat: 12.RSDB, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=1.75000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=7.75523e+01, Hc=   1
 NowState :   Stat: 12.RSDB, NowState :   Stat: 13.RSDM, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=4.37500e-01, Dep=   2, Arr=   1, Dir=LD, Clt=7.75523e+01, Hc=   1
 NowState :   Stat: 13.RSDM, NowState :   Stat: 14.RSDC, itv      : 3.385633	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=8.09379e+01, Hc=   1
 NowState :   Stat: 14.RSDC, NowState :   Stat: 15.RSTB, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=8.09379e+01, Hc=   1
 NowState :   Stat: 15.RSTB, NowState :   Stat: 16.RSTM, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=8.09379e+01, Hc=   1
 NowState :   Stat: 16.RSTM, NowState :   Stat: 17.DOPB, itv      : 0.000000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=8.09379e+01, Hc=   1
 NowState :   Stat: 17.DOPB, NowState :   Stat: 18.DOPM, itv      : 1.050000	 Cycle=   2	Pos=   1, hw=0.00000e+00, Dep=   2, Arr=   1, Dir=LD, Clt=8.19879e+01, Hc=   1
