 PID---, CID-, ToF, TfF, CLT----, CIT----, ToT----, TfT----, CWI----, TrT----, SvT----, SvS-----
     83,    2,   9,   1,  1380.9,    24.0,  1425.3,  1492.7,    44.4,    67.4,   111.8, 09.SVCP

     84,    2,   1,   9,  1394.0,    13.1,  1496.7,  1590.5,   102.7,    93.8,   196.5, 09.SVCP

     85,    2,   4,   1,  1409.3,    15.3,  1462.9,  1493.5,    53.6,    30.6,    84.2, 09.SVCP

     86,    2,   1,   5,  1409.6,     0.3,  1497.5,  1541.5,    87.9,    44.0,   131.9, 09.SVCP

     87,    2,   1,   5,  1417.2,     7.6,  1498.3,  1542.3,    81.1,    44.0,   125.1, 09.SVCP

     88,    2,   4,   1,  1445.6,    28.4,  1463.7,  1494.3,    18.1,    30.6,    48.7, 09.SVCP

     89,    2,   3,   1,  1456.6,    11.0,  1477.0,  1495.1,    20.4,    18.1,    38.5, 09.SVCP

     90,    2,   3,   1,  1466.0,     9.4,  1477.8,  1495.9,    11.8,    18.1,    29.9, 09.SVCP

     91,    2,   1,   3,  1493.0,    27.0,  1499.1,  1526.7,     6.1,    27.5,    33.7, 09.SVCP

     92,    2,   2,   1,  1497.0,     4.0,  1513.3,  1641.4,    16.3,   128.2,   144.4, 09.SVCP

     93,    2,   1,   8,  1498.0,     1.0,  1499.9,  1570.6,     1.9,    70.6,    72.6, 09.SVCP

     94,    2,   6,   1,  1506.0,     8.0,  1555.7,  1642.2,    49.7,    86.5,   136.2, 09.SVCP

     95,    2,   1,  10,  1524.0,    18.0,  1646.2,  1726.3,   122.2,    80.1,   202.3, 09.SVCP

     96,    2,   1,   7,  1525.0,     1.0,  1647.0,  1697.3,   122.0,    50.3,   172.3, 09.SVCP

     97,    2,   1,   7,  1526.0,     1.0,  1647.8,  1698.1,   121.8,    50.3,   172.1, 09.SVCP

     98,    2,   2,   1,  1527.0,     1.0,  1628.1,  1645.4,   101.1,    17.4,   118.4, 09.SVCP

     99,    2,   8,   1,  1574.1,    44.1,  1577.2,  1643.0,     3.1,    65.9,    68.9, 09.SVCP

